Movie,LeadStudio,AudienceScore,Story,Genre,TheatersOpenWeek,OpeningWeekend,DomesticGross,ForeignGross,WorldGross,Budget,Profitability,Year
Disturbia,Paramount,75,Pursuit,Thriller,2925,22.2,80.21,37.55,117.76,20,588.79,2007
No Country for Old Men,Paramount,84,Pursuit,Drama,860,7.8,74.28,97.34,171.63,25,686.5,2007
The Golden Compass,Warner Bros,55,Rescue,Action,3528,25.7,70.11,302.13,372.23,180,206.8,2007
Charlie Wilson's War,Universal,73,Discovery,Biography,2575,9.6,66.66,52.34,119,75,158.67,2007
Saw IV,Independent,70,Escape,Horror,3183,31.7,63.3,76.05,139.35,10,1393.52,2007
Surf's Up,Sony,64,Discovery,Animation,3528,17.6,58.87,90.18,149.04,85,175.34,2007
Tyler Perry's Why Did I get Married,Independent,47,Love,Romance,2011,21.4,55.2,0.66,55.86,15,372.41,2007
P.S. I Love You,Independent,82,Love,Romance,2454,6.5,53.7,103.14,156.83,30,522.78,2007
Michael Clayton,Independent,72,Transformation,Thriller,2511,10.4,49.03,43.96,92.99,25,371.96,2007
Premonition,Sony,55,The Riddle,Drama,2831,17.6,47.85,36.29,84.15,20,420.73,2007
Shooter,Paramount,82,Pursuit,Action,2806,14.5,47,48.69,95.7,61,156.88,2007
License to Wed,Warner Bros,55,Love,Comedy,2604,10.4,43.8,25.51,69.31,35,198.02,2007
Alien vs. Predator -- Requiem,Fox,37,Monster Force,Horror,2611,10,41.8,87.09,128.88,40,322.21,2007
There Will Be Blood,Paramount,84,Wretched Excess,Drama,885,4.9,40.22,35.96,76.18,25,304.72,2007
Epic Movie,Independent,38,Comedy,Comedy,2801,18.6,39.74,47.13,86.87,20,434.33,2007
Hitman,Fox,61,Quest,Action,2458,13.2,39.69,60.28,99.97,17.5,571.23,2007
30 Days of Night,Independent,57,Monster Force,Horror,2855,15.6,39.57,35.94,75.5,32,235.95,2007
Stardust,Paramount,86,Quest,Adventure,2540,9.16,38.63,96.93,135.56,70,193.66,2007
The Heartbreak Kid,Paramount,41,Love,Comedy,3229,14,36.79,90.98,127.77,60,212.94,2007
Smokin' Aces,Universal,64,Pursuit,Action,2218,14.6,35.79,21.32,57.1,17,335.9,2007
Zodiac,Paramount,73,Pursuit,Thriller,2362,13.4,33.08,51.71,84.79,65,130.44,2007
Mr. Magorium's Wonder Emporium,Independent,56,Transformation,Fantasy,3164,9.63,32.06,37.41,69.47,25,277.9,2007
We Own the Night,Sony,63,Sacrifice,Drama,2362,10.8,28.56,26.36,54.93,21,261.55,2007
Nancy Drew,Independent,61,The Riddle,Thriller,2612,6.9,25.61,5.05,30.67,20,153.33,2007
Across the Universe,Independent,84,Love,Romance,954,3.8,24.34,5.02,29.37,45,65.26,2007
The Hills Have Eyes 2,Independent,50,Monster Force,Horror,2447,9.7,20.8,16.66,37.47,15,249.77,2007
Vacancy,Sony,46,Pursuit,Comedy,2551,7.6,19.36,15.94,35.3,19,185.79,2007
Waitress,Independent,67,Love,Romance,605,2,19.07,3.1,22.18,2,1108.9,2007
Into the Wild,Paramount,90,quest,Drama,658,2.1,18.35,37.9,56.25,15,375.03,2007
Walk Hard: The Dewey Cox Story,Sony,55,Comedy,Comedy,2650,4.1,18.32,2.26,20.58,35,58.79,2007
Next,Paramount,59,Pursuit,Thriller,2725,7.1,18.21,57.86,76.07,70,108.67,2007
The Kite Runner,Paramount,85,Maturation,Drama,715,1.6,15.8,57.48,73.28,20,366.38,2007
The Invasion,Warner Bros,43,Monster Force,Thriller,2776,5.6,15.07,25.1,40.17,80,50.21,2007
Lions for Lambs,Independent,48,Quest,Drama,2215,6.7,15,48.21,63.22,35,180.61,2007
Daddy Day Camp,Sony,63,Comedy,Comedy,2332,3.4,13.24,4.96,18.2,6,303.28,2007
Shoot 'Em Up,Warner Bros,66,Pursuit,Action,2108,5.7,12.81,14.01,26.82,39,68.77,2007
The Darjeeling Limited,Fox,79,Journey and Return,Drama,698,1.8,11.9,23.18,35.08,17.5,200.45,2007
In the Land of Women,Warner Bros,72,Transformation,Comedy,2155,4.7,11.05,6.51,17.56,10,175.61,2007
The Dark Knight,Warner Bros,96,Revenge,Thriller,4366,158.4,534.86,469.7,1004.56,185,543,2008
Iron Man,Paramount,91,Metamorphosis,Action,4105,98.62,318.76,266.76,585.52,186,314.8,2008
Indiana Jones and the Kingdom of the Crystal Skull,Paramount,59,Pursuit,Action,4260,100.1,317.1,469.53,786.64,185,425.21,2008
Hancock,Sony,67,Discovery,Action,3965,62.6,227.95,396.44,624.39,150,416.26,2008
WALL-E,Disney,89,love,Animation,3992,63.09,223.81,297.5,521.31,180,289.62,2008
Kung Fu Panda,Paramount,83,Underdog,Animation,4114,60.24,215.43,416.31,631.74,200,315.87,2008
Madagascar: Escape 2 Africa,Paramount,73,Journey and Return,Animation,4056,63.11,180.01,423.89,603.9,150,402.6,2008
Twilight,Summit,82,Love,Romance,3419,69.64,192.77,199.85,392.62,37,1061.12,2008
Dr. Seuss' Horton Hears a Who!,Fox,75,rescue,Animation,3954,45,154.53,142.61,297.14,85,349.57,2008
Sex and the City,Warner Bros,81,love,Comedy,3285,57.04,152.65,262.61,415.25,57.5,722.18,2008
Mamma Mia!,Universal,76,Love,Comedy,2976,27.75,144.13,465.71,609.84,66,924,2008
The Chronicles of Narnia: Prince Caspian,Disney,78,fish out of water,Action,3929,55.03,141.62,278.04,419.67,200,209.83,2008
The Incredible Hulk,Universal,75,Metamorphosis,Action,3505,55.14,134.81,128.62,263.43,137.5,191.58,2008
Wanted,Universal,72,Transformation,Action,3175,50.93,134.51,206.92,341.43,75,455.24,2008
Get Smart,Warner Bros,73,Pursuit,Action,3911,38.7,130.32,100.37,230.69,80,288.36,2008
Tropic Thunder,Paramount,69,fish out of water,Comedy,3319,25.81,110.52,77.56,188.07,90,208.97,2008
Bedtime Stories,Disney,63,rivalry,Comedy,3681,27.5,110.1,102.77,212.87,80,266.09,2008
Bolt,Disney,76,rescue,Animation,3651,26.2,114.05,195.93,309.98,150,206.65,2008
Marley and Me,Fox,77,love,Comedy,3480,36.36,143.15,99.56,242.72,55,441.3,2008
The Mummy: Tomb of the Dragon Emperor,Universal,40,Quest,Action,3760,40.5,102.49,298.64,401.13,145,276.64,2008
Journey to the Center of the Earth,Warner Bros,55,Quest,Action,2811,21,101.7,140.29,241.99,45,537.76,2008
Eagle Eye,Paramount,72,pursuit,Action,3510,29.2,101.44,76.63,178.07,80,222.58,2008
Step Brothers,Sony,68,Comedy,Comedy,3094,30.94,100.47,27.64,128.11,65,197.09,2008
You Don't Mess with the Zohan,Sony,50,fish out of water,Comedy,3462,38.53,100.02,99.92,199.94,80,249.92,2008
Yes Man,Warner Bros,72,Transformation,Comedy,3434,18.26,97.69,125.55,223.24,70,318.91,2008
"10,000 B.C.",Warner Bros,44,Rescue,Adventure,3410,35.9,94.78,175,269.78,105,256.94,2008
Beverly Hills Chihuahua,Disney,56,Journey and Return,Adventure,3215,29.3,94.51,54.77,149.28,20,746.41,2008
The Day the Earth Stood Still,Fox,34,Sacrifice,Thriller,3560,30.5,79.37,153.73,233.09,100,233.09,2008
The Spiderwick Chronicles,Paramount,67,fish out of water,Fantasy,3847,19,71.2,91.64,162.84,92.5,176.04,2008
Fool's Gold,Warner Bros,53,Quest,Adventure,3125,21.6,70.23,41,111.23,72.5,153.42,2008
Role Models,Universal,75,Discovery,Comedy,2792,19.17,67.29,25.09,92.38,28,329.93,2008
The Happening,Fox,29,escape,Thriller,2986,30.52,64.51,98.9,163.4,48,340.42,2008
Forgetting Sarah Marshall,Independent,75,maturation,Comedy,2798,17.73,63.17,42,105.17,30,350.57,2008
Baby Mama,Independent,59,Discovery,Comedy,2543,17.41,60.49,3.67,64.16,70,91.66,2008
Seven Pounds,Sony,77,Sacrifice,Drama,2758,14.9,69.95,98.22,168.17,55,305.76,2008
Step Up 2: The Streets,Disney,81,underdog,Drama,2470,18.91,58.02,92.8,150.82,17.5,861.8,2008
Saw V,Independent,63,Monster Force,Crime,3030,30.1,56.75,57.12,113.86,10.8,1054.29,2008
The Tale of Despereaux,Universal,46,Rescue,Animation,3104,10.1,50.88,36.07,86.95,55,158.09,2008
The House Bunny,Sony,54,Discovery,Comedy,2714,14.53,48.24,22.21,70.44,25,281.77,2008
Nim's Island,Independent,50,rescue,Adventure,3513,13.2,48.01,52.07,100.08,37,270.47,2008
Australia,Fox,69,Fish Out of Water,Adventure,2642,14.8,49.55,161.79,211.34,78,270.95,2008
Made of Honor,Sony,61,Love,Comedy,2729,14.76,46.01,59.95,105.96,40,264.91,2008
The Sisterhood of the Traveling Pants 2,Warner Bros,67,Journey and Return,,2707,10.68,44.09,0.26,44.35,27,164.26,2008
Speed Racer,Warner Bros,61,Quest,Action,3606,18.6,43.95,50,93.95,120,78.29,2008
Prom Night,Independent,46,escape,Horror,2700,20.81,43.87,13.33,57.2,18,317.76,2008
"Welcome Home, Roscoe Jenkins",Universal,64,discovery,Comedy,2387,16.21,42.44,1.21,43.65,35,124.71,2008
Nights in Rodanthe,Warner Bros,56,Discovery,Drama,2704,13.42,41.85,42.52,84.37,30,281.25,2008
Max Payne,Fox,36,Revenge,Action,3376,17.6,40.69,44.73,85.42,35,244.05,2008
Body of Lies,Warner Bros,65,Temptation,Action,2710,12.9,39.39,75.7,115.1,67.5,170.51,2008
Meet the Spartans,Independent,31,comedy,Comedy,2605,18.51,38.23,46.41,84.65,30,282.15,2008
Harold and Kumar Escape from Guantanamo Bay,Warner Bros,65,escape,Adventure,2510,14.91,38.11,5.38,43.49,12,362.43,2008
Star Wars: The Clone Wars,Independent,46,sacrifice,Animation,3452,14.6,35.16,33.12,68.28,8.5,803.32,2008
Semi-Pro,Warner Bros,41,underdog,Comedy,3121,15.08,33.48,10.41,43.88,2.6,1687.85,2008
Fireproof,Independent,51,love,Drama,839,6.84,33.46,0.02,33.47,0.5,6694.4,2008
Drillbit Taylor,Paramount,49,Comedy,Comedy,3056,10.3,32.86,16.83,49.69,40,124.23,2008
The Love Guru,Paramount,38,Comedy,Comedy,3012,13.91,32.24,8.63,40.86,62,65.91,2008
"Definitely, Maybe",Universal,72,Discovery,Comedy,2204,9.76,32.24,23.21,55.45,7,792.1,2008
Milk,Universal,88,quest,Biography,36,1.5,31.84,22.75,54.59,20,272.93,2008
Transporter 3,Independent,58,escape,Action,2626,12.06,31.72,77.26,108.98,30,363.26,2008
Quarantine,Sony,46,Monster Force,Horror,2461,14.2,31.69,9.63,41.32,12,344.33,2008
Nick and Norah's Infinite Playlist,Sony,67,Love,Comedy,2421,11.31,31.49,2.02,33.51,10,335.05,2008
The Women,Warner Bros,41,Transformation,Drama,2962,10.12,26.9,23.11,50.01,16,312.54,2008
One Missed Call,Warner Bros,36,Monster Force,Horror,2240,12.5,26.89,18.96,45.85,20,229.24,2008
The Other Boleyn Girl,Independent,65,tragedy,Drama,1166,8.2,26.81,50.9,77.71,40,194.28,2008
Street Kings,Fox,62,The Riddle,Action,2467,12.5,26.42,39.15,65.57,20,327.86,2008
Shutter,Fox,40,Monster Force,Horror,2753,10.5,25.93,21.95,47.88,8,598.48,2008
Appaloosa,Warner Bros,55,Rescue,Action,1045,5,20.21,7.45,27.67,20,138.33,2008
Doubt,Independent,75,riddle,Drama,1267,5.3,33.45,17.46,50.91,25,203.62,2008
The Ruins,Paramount,32,rescue,Horror,2812,8,17.43,5.3,22.73,25,90.91,2008
88 Minutes,Sony,51,The Riddle,Drama,2168,7,17.21,15.38,32.59,30,108.64,2008
Swing Vote,Disney,44,maturation,Comedy,2213,6.23,16.29,1.34,17.63,20,88.17,2008
The Haunting of Molly Hartley,Independent,22,sacrifice,Horror,2652,5.4,13.56,1.86,15.42,5,308.34,2008
Ghost Town,Paramount,60,transformation,Comedy,1505,5.01,13.37,13.71,27.07,20,135.37,2008
Rachel Getting Married,Independent,61,love,Drama,9,0.29,12.8,3.83,16.62,12,138.52,2008
Miss Pettigrew Lives for a Day,Independent,70,Love,Comedy,535,2.49,12.31,4.41,16.72,60,27.87,2008
Meet Dave,Fox,42,Fish Out of Water,Adventure,3011,5.25,11.8,38.85,50.65,60,84.42,2008
The Longshots,Independent,39,Quest,Comedy,2089,4,11.54,0.23,11.77,30,39.22,2008
Cadillac Records,Sony,64,Rags to Riches,Biography,687,3.4,8.2,0.68,8.88,12,73.99,2008
Miracle at St. Anna,Disney,68,quest,Action,1185,3.5,7.92,1.4,9.32,45,20.72,2008
City of Ember,Independent,48,escape,Adventure,2022,3.13,7.87,10.06,17.93,38,47.18,2008
Avatar,Fox,92,Metamorphosis,Action,3452,77,760.5,2021,2781.5,237,1173.63,2009
Transformers: Revenge of the Fallen,Paramount,76,Revenge,Action,4234,109,402.1,434.2,836.3,210,398.24,2009
Harry Potter and the Half-Blood Prince,Warner Bros,75,Quest,Adventure,4325,77.8,302,632,934,250,373.6,2009
The Twilight Saga: New Moon,Summit,78,Love,Drama,4024,142.8,296.62,413.2,709.82,50,1419.64,2009
Up,Disney,86,Journey and Return,Animation,3766,68.1,293,438.3,731.3,175,417.89,2009
The Hangover,Warner Bros,87,Comedy,Comedy,3269,45,277.3,190.16,467.46,35,1335.6,2009
Star Trek,Paramount,91,Revenge,Action,3849,75.2,257.7,127.95,385.65,140,275.46,2009
The Blind Side,Warner Bros,90,Rags To Riches,Biography,3110,34.1,255.96,53.24,309.2,29,1066.2,2009
Alvin and the Chipmunks: The Squeakquel,Independent,59,Comedy,Animation,3700,48.8,219.5,223,440.7,75,587.6,2009
Sherlock Holmes,Warner Bros,81,The Riddle,Action,3626,62.3,209.02,315,524.02,90,582.24,2009
Monsters Vs. Aliens,Paramount,65,Monster Force,Animation,4104,59.3,198.4,183.2,381.5,175,218,2009
Ice Age: Dawn of the Dinosaurs,Fox,72,Quest,Animation,4099,41.7,196.57,690.11,886.68,90,985.2,2009
X-Men Origins: Wolverine,Fox,72,Revenge,Action,4099,85.1,179.9,193.2,373.1,150,248.73,2009
Night at the Museum: Battle of the Smithsonian,Fox,60,Quest,Action,4096,54.2,177.2,235.8,413,150,275.33,2009
2012,Sony,63,Escape,Action,3404,65.3,166.12,603.57,769.69,200,384.84,2009
The Proposal,Disney,74,Love,Comedy,3056,33.6,163.96,153.42,314.7,40,786.75,2009
Fast and Furious,Universal,76,Revenge,Action,3461,70.9,155.1,208,363.1,85,427.18,2009
Angels & Demons,Sony,65,The Riddle,Mystery,3527,46.2,133.4,352.6,485.9,150,323.93,2009
Terminator Salvation,Warner Bros,64,Monster Force,Action,3530,42.6,125.3,246.7,372,200,186,2009
Cloudy with a Chance of Meatballs,Sony,70,Comedy,Animation,3119,30.3,124.9,118.13,243.03,100,243.03,2009
Hannah Montana: The Movie,Disney,66,Maturation,Comedy,3118,32.3,79.58,75.97,155.55,35,444.43,2009
Where the Wild Things Are,Warner Bros,59,Journey and Return,Adventure,3735,32.7,77.23,22.85,100.08,100,100.08,2009
Zombieland,Sony,87,Monster Force,Action,3036,24.7,75.59,26.8,102.39,23.6,433.86,2009
Coraline,Universal,77,Journey and Return,Animation,2299,16.8,75.28,49.3,124.58,60,207.63,2009
Hotel for Dogs,Paramount,57,Comedy,Comedy,3271,17,73,43.97,118.2,35,337.71,2009
"I Love You, Man",Paramount,72,Comedy,Comedy,2711,17.8,71.4,20.2,91.4,40,228.5,2009
Obsessed,Sony,50,Rivalry,Drama,2514,28.6,68.26,5.56,73.82,20,369.1,2009
The Final Destination,Warner Bros,52,Escape,Horror,3121,27.4,66.5,119.69,186.19,40,465.47,2009
The Taking of Pelham 1 2 3,Sony,60,Rescue,Action,3074,23.37,65.45,84.71,150.16,100,150.16,2009
Friday the 13th,Paramount,52,Monster Force,Horror,3105,40.6,65,26.4,91.4,19,481.05,2009
17 Again,Independent,70,Maturation,Comedy,3255,23.7,64.2,72.1,136.3,20,681.5,2009
The Time Traveler's Wife,Paramount,65,Love,Drama,2988,18.6,63.41,37.92,101.33,39,259.82,2009
Bruno,Universal,48,Comedy,Comedy,2756,30.6,60.1,78.75,130.8,42,311.43,2009
Bride Wars,Fox,56,Comedy,Comedy,3226,21.1,58.75,55.95,115.15,30,383.83,2009
Ghosts of Girlfriends Past,Warner Bros,47,Love,Comedy,3175,15.4,55.25,46.97,102.22,50,204.44,2009
Funny People,Universal,58,Transformation,Comedy,3007,22.7,51.85,19.73,71.58,75,95.44,2009
Land of the Lost,Universal,38,Journey and Return,Drama,3521,18.8,49.43,19.34,68.77,100,68.77,2009
My Sister's Keeper,Warner Bros,73,Escape,Drama,2606,12.4,49.2,46.51,95.71,27.5,348.05,2009
Underworld: Rise of the Lycans,Sony,68,Rivalry,Action,2942,20.8,45.8,45.55,91.35,35,261,2009
Confessions of a Shopaholic,Disney,53,Comedy,Comedy,2507,15,44.27,64.05,108.3,70,155,2009
The Lovely Bones,Paramount,57,Tragedy,Drama,2563,17,44,49.51,93.51,65,143.86,2009
Drag Me to Hell,Universal,61,Monster Force,Horror,2508,15.8,42.1,48.7,90.8,30,302.67,2009
Orphan,Warner Bros,65,Escape,Horror,2750,12.8,41.59,35.1,76.69,30,255.64,2009
Duplicity,Universal,38,Rivalry,Romance,2574,14,40.57,37.57,78.14,60,130.23,2009
Ninja Assassin,Warner Bros,57,Revenge,Action,2503,13.3,38.12,23.47,61.59,50,123.18,2009
Invictus,Warner Bros,74,Underdog,Biography,2125,8.6,37.49,84.74,122.23,60,203.72,2009
Notorious,Fox,66,Tragedy,Biography,1638,20.5,36.84,7.52,44.36,20,221.8,2009
The Pink Panther 2,Sony,47,Comedy,Adventure,3243,11.6,35.92,40.02,75.94,59,128.71,2009
All About Steve,Fox,35,Comedy,Comedy,2251,11.2,33.86,6.26,40.12,15,267.47,2009
Halloween II,Independent,45,Escape,Horror,3025,16.3,33.39,6.02,39.41,15,262.73,2009
The Informant!,Warner Bros,42,Comedy,Comedy,2505,10.5,33.31,8.45,41.76,22,189.82,2009
The Men Who Stare at Goats,Independent,43,Comedy,Comedy,2443,12.7,32.4,36.54,68.94,25,275.76,2009
(500) Days of Summer,Fox,81,Love,Comedy,817,3.8,32.39,28.33,60.72,7.5,809.6,2009
Push,Summit,47,Quest,Action,2313,10.1,31.81,17.04,48.85,38,128.55,2009
The Soloist,Paramount,59,Quest,Drama,2024,9.7,31.7,6.61,38.31,60,63.85,2009
Did You Hear About the Morgans?,Sony,31,Comedy,Comedy,2718,6.6,29.58,55.7,85.28,58,147.03,2009
The Stepfather,Sony,48,Rescue,Mystery,2734,11.6,29.1,2.13,31.2,20,156,2009
Saw VI,Independent,67,Escape,Horror,3036,14.1,27.69,40.5,68.19,11,619.91,2009
Dance Flick,Paramount,35,Comedy,Action,2450,10.6,25.66,5.77,31.43,25,125.72,2009
The Fourth Kind,Universal,44,Monster Force,Mystery,2527,12.2,25.48,22.22,47.7,10,477,2009
The International,Sony,39,The Riddle,Action,2364,9.3,25.4,34.7,60.1,50,120.2,2009
Aliens in the Attic,Fox,46,Monster Force,Adventure,3106,8,25.2,32.68,57.88,45,128.62,2009
Observe and Report,Warner Bros,40,Comedy,Comedy,2727,11,24,2.96,26.96,18,149.78,2009
Love Happens,Universal,40,Love,Drama,1898,8.05,22.96,13.12,36.08,18,200.44,2009
Fantastic Mr. Fox,Fox,80,Rivalry,Animation,2033,7,21,25.46,46.46,40,116.15,2009
Astro Boy,Summit,53,Quest,Animation,3014,6.7,19.55,20.34,39.89,65,61.36,2009
The Invention of Lying,Warner Bros,47,Love,Comedy,1707,7,18.45,13.95,32.4,18.5,175.14,2009
Inkheart,Warner Bros,51,Quest,Adventure,2655,7.6,17.3,45.14,62.44,60,104.07,2009
Fired Up!,Independent,52,Comedy,Comedy,1810,5.5,17.2,1.37,18.6,20,93,2009
The Hurt Locker,Independent,83,Quest,Drama,4,0.14,17.01,32.21,49.22,15,328.13,2009
Jennifer's Body,Fox,37,Monster Force,Comedy,2702,6.9,16.2,15.35,31.55,16,197.19,2009
Imagine That,Paramount,44,Comedy,Comedy,3008,5.5,16.12,6.86,22.99,55,41.8,2009
Armored,Sony,34,Temptation,Action,1915,6.5,15.99,6.95,16,20,80,2009
A Perfect Getaway,Universal,50,Escape,Mystery,2159,5.9,15.5,7.33,22.83,14,163.07,2009
The Box,Warner Bros,27,Temptation,Drama,2635,7.6,15.1,18.28,33.38,30,111.27,2009
I Love You Beth Cooper,Fox,38,Comedy,Comedy,1856,4.9,14.8,1.02,15.82,18,87.89,2009
Amelia,Independent,35,Quest,Adventure,820,3.9,14.25,5.4,19.2,40,48,2009
Cirque du Freak: The Vampire's Assistant,Universal,50,Discovery,Action,2754,6.3,13.87,25.36,39.23,40,98.08,2009
Whip It,Independent,73,Maturation,Drama,1721,4.7,13,3.59,16,15,106.67,2009
An Education,Sony,78,Maturation,Drama,761,0.76,12.57,13.52,26.09,7.5,347.87,2009
12 Rounds,Fox,52,Rescue,Action,2331,5.3,12.23,5.05,17.28,20,86.38,2009
Sunshine Cleaning,Independent,59,Transformation,Comedy,642,0.9,12.06,4.51,16.57,5,331.4,2009
Sorority Row,Summit,38,Pursuit,Horror,2665,5.1,11.97,15.24,27.21,12.5,217.68,2009
Not Easily Broken,Independent,66,Love,Drama,724,5.3,10.6,0.14,10.7,5,214,2009
Pandorum,Independent,49,Monster Force,Action,2506,4.4,10.3,10.31,17,40,42.5,2009
Whiteout,Warner Bros,28,Pursuit,Action,2745,4.9,10.28,7.57,12.2,35,34.86,2009
Next Day Air,Summit,27,Comedy,Action,1138,4.1,10,0.15,10,3,333.33,2009
Dragonball Evolution,Fox,28,Quest,Action,2181,4.8,9.36,48.13,58.23,30,194.1,2009
A Serious Man,Universal,64,Love,Drama,6,0.25,9.23,22.2,31.43,7,448.99,2009
Street Fighter: The Legend of Chun-Li,Fox,28,Revenge,Action,1136,4.7,8.74,4.02,12.34,50,24.68,2009
My Life in Ruins,Independent,43,Comedy,Comedy,1164,3.2,8.67,11.79,18.01,17,106,2009
Post Grad,Fox,31,Maturation,Comedy,1959,2.6,6.38,0.03,6.38,15,42.53,2009
Whatever Works,Independent,63,Discovery,Comedy,9,0.26,5.3,29.79,35.09,15,233.94,2009
Bandslam,Summit,60,Maturation,Comedy,2121,2.2,5.2,7.01,12.1,20,61,2009
127 Hours,Independent,84,Escape,Adventure,916,2.13,18.33,42.4,60.73,18,337.39,2010
A Nightmare on Elm Street,Warner Bros,40,Monster Force,Horror,3332,32.9,63.08,52.59,115.67,35,330.49,2010
Alice in Wonderland,Disney,72,Journey and Return,Adventure,3728,116.1,334.19,691.28,1025.466,200,512.73,2010
All About Steve,Independent,35,Comedy,Comedy,2251,11.2,33.86,6.26,40.12,15,267.47,2010
Black Swan,Fox,86,Wretched Excess,Drama,959,8.38,106.95,222.44,329.397,13,2533.82,2010
Brooklyn's Finest,Independent,47,Temptation,Action,1936,13.4,27.16,9.28,36.439,17,214.35,2010
Buried,Independent,63,Escape,Drama,11,0.103,1.04,18.11,19.148,2,957.4,2010
Burlesque,Paramount,66,Rags to Riches,Drama,3037,11.95,39.44,50.08,89.519,55,162.76,2010
Case 39,Independent,42,Monster Force,Horror,2211,5.4,13.26,14.93,28.19,26,108.42,2010
Cats & Dogs: The Revenge of Kitty Galore,Independent,43,Pursuit,Action,3705,12.3,43.59,68.9,112.49,85,132.34,2010
Charlie St. Cloud,Universal,62,Discovery,Fantasy,2718,12.4,31.16,17.03,48.188,44,109.52,2010
City Island,Independent,77,Transformation,Comedy,2,0.032,6.67,1.2,7.874,6,131.23,2010
Clash of the Titans,Warner Bros,48,Quest,Action,3777,61.2,163.21,330,493.214,125,394.57,2010
Conviction,Independent,71,Rescue,Biography,672,1.62,6.79,2.92,9.71,12.5,77.68,2010
Cop Out,Warner Bros,45,The Riddle,Action,3150,18.21,44.88,10.71,55.588,30,185.29,2010
Country Strong,Sony,56,Rags to Riches,Drama,1424,7.33,20.22,0.31,20.528,15,136.85,2010
Cyrus,Independent,51,Rivalry,Comedy,4,0.18,7.47,2.45,9.92,7,141.71,2010
Date Night,Fox,58,Pursuit,Comedy,3374,25.2,98.71,53.55,152.263,55,276.84,2010
Dear John,Sony,66,Love,Drama,2969,30.4,80.01,34.96,114.97,25,459.88,2010
Death at a Funeral,Independent,48,Comedy,Comedy,2459,16.2,42.74,6.31,49.05,21,233.57,2010
